Date,Account Balance,Backtest ID,Risk
2024-10-29,10036.06,Test 2,"TP: 0.00, SL: 0.00"
2024-10-15,10038.28,Test 2,"TP: 0.00, SL: 0.00"
2024-11-05,10006.81,Test 2,"TP: 0.00, SL: 0.00"
2024-09-30,9994.42,Test 2,"TP: 0.00, SL: 0.00"
2024-10-02,10000.42,Test 2,"TP: 0.00, SL: 0.00"
2024-10-04,10001.47,Test 2,"TP: 0.00, SL: 0.00"
2024-10-21,10045.24,Test 2,"TP: 0.00, SL: 0.00"
2024-10-22,10041.91,Test 2,"TP: 0.00, SL: 0.00"
2024-10-31,10014.07,Test 2,"TP: 0.00, SL: 0.00"
2024-11-08,10050.40,Test 2,"TP: 0.00, SL: 0.00"
2024-09-25,10007.05,Test 2,"TP: 0.00, SL: 0.00"
2024-10-03,10001.47,Test 2,"TP: 0.00, SL: 0.00"
2024-10-11,10038.28,Test 2,"TP: 0.00, SL: 0.00"
2024-10-18,10041.85,Test 2,"TP: 0.00, SL: 0.00"
2024-09-26,10003.03,Test 2,"TP: 0.00, SL: 0.00"
2024-11-06,10050.40,Test 2,"TP: 0.00, SL: 0.00"
